epoch: 1, dev loss: 0.599221, acc: 0.760000
epoch: 2, dev loss: 0.637653, acc: 0.750000
epoch: 3, dev loss: 0.593048, acc: 0.760000
epoch: 4, dev loss: 0.569688, acc: 0.745000
epoch: 5, dev loss: 0.572441, acc: 0.750000
epoch: 6, dev loss: 0.573091, acc: 0.745000
testing model, dev loss: 0.536295, acc: 0.786802
testing model, dev loss: 0.632630, acc: 0.746193
testing model, dev loss: 0.912851, acc: 0.730964
testing model, dev loss: inf, acc: 0.791878
testing model, dev loss: inf, acc: 0.781726
testing model, dev loss: inf, acc: 0.796954
testing model, dev loss: inf, acc: 0.796954
testing model, dev loss: inf, acc: 0.796954
testing model, dev loss: inf, acc: 0.765000
testing model, dev loss: inf, acc: 0.802030
testing model, dev loss: inf, acc: 0.786802
testing model, dev loss: inf, acc: 0.802030
testing model, dev loss: inf, acc: 0.791878
testing model, dev loss: inf, acc: 0.812183
testing model, dev loss: inf, acc: 0.847716
testing model, dev loss: inf, acc: 0.802030
testing model, dev loss: inf, acc: 0.835000
testing model, dev loss: inf, acc: 0.840000
testing model, dev loss: 0.557203, acc: 0.811209
testing model, dev loss: 0.672711, acc: 0.802360
testing model, dev loss: 0.636178, acc: 0.763314
testing model, dev loss: 0.644848, acc: 0.801775
testing model, dev loss: 0.647311, acc: 0.801775
testing model, dev loss: 0.527577, acc: 0.800000
testing model, dev loss: 1.775807, acc: 0.300000
testing model, dev loss: 1.775807, acc: 0.300000
testing model, dev loss: 1.775807, acc: 0.300000
testing model, dev loss: 1.775807, acc: 0.300000
testing model, dev loss: 1.775807, acc: 0.300000
testing model, dev loss: 0.644848, acc: 0.801775
testing model, dev loss: 0.665847, acc: 0.801775
